loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState,batteryLevel
2020-05-25 11:39:16.753 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.501651875001,-0.0035858154296875,-0.3458099365234375,-0.9457550048828125,7311.461766875001,-0.2398122467460924,-0.003204612066150434,0.3693868175802522,-0.01638487353920937,-0.1247406974434853,-0.02960707806050777,-0.007448478136211634,0.0002933144569396973,-0.01756209135055542,XArbitraryZVertical,0.1821379408957886,-0.02353117365569636,-0.1178765969934678,0.9758980643589337,-0.002988452324643731,-0.3610436916351318,-0.9325441122055054,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.774 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.536550875,0.0093841552734375,-0.3665313720703125,-0.9298248291015625,7311.521593875001,-0.2402064027131154,-0.002269827537298298,0.3744867103326806,0.1633872836828232,0.01318467780947685,-0.003893574699759483,0.004538713023066521,0.01058372855186462,-0.01102083921432495,XArbitraryZVertical,0.1846764526960359,-0.02341067096702409,-0.1179301149884331,0.9754173025618202,-0.00211251643486321,-0.3657948672771454,-0.9306930899620056,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.795 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.571449875,0.0010833740234375,-0.3666229248046875,-0.925201416015625,7311.521593875001,-0.2402064027131154,-0.002269827537298298,0.3744867103326806,0.1633872836828232,0.01318467780947685,-0.003893574699759483,0.004538713023066521,0.01058372855186462,-0.01102083921432495,XArbitraryZVertical,0.1846764526960359,-0.02341067096702409,-0.1179301149884331,0.9754173025618202,-0.00211251643486321,-0.3657948672771454,-0.9306930899620056,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.830 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.606349875001,-0.0034332275390625,-0.3662872314453125,-0.9265899658203125,7311.581421875,-0.2392410902932549,-0.003718119887854416,0.3793277152902675,-0.009738954715430737,-0.04102982580661774,0.007180198095738888,0.002904588356614113,0.003793627023696899,0.00597691535949707,XArbitraryZVertical,0.1869633760642458,-0.02431081244551365,-0.1175432943764545,0.9750062293223777,-0.003453804878517985,-0.3702960610389709,-0.9289073348045349,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.865 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.641248875,-0.022857666015625,-0.3482208251953125,-0.9332427978515625,7311.581421875,-0.2392410902932549,-0.003718119887854416,0.3793277152902675,-0.009738954715430737,-0.04102982580661774,0.007180198095738888,0.002904588356614113,0.003793627023696899,0.00597691535949707,XArbitraryZVertical,0.1869633760642458,-0.02431081244551365,-0.1175432943764545,0.9750062293223777,-0.003453804878517985,-0.3702960610389709,-0.9289073348045349,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.900 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.676148875001,0.0040130615234375,-0.397705078125,-0.916717529296875,7311.641248875,-0.2385853886480055,-0.006125117164930203,0.3780911303956438,0.1715951561927795,0.008602974936366081,-0.003920921124517918,-0.01379281841218472,0.01886481046676636,-0.004654824733734131,XArbitraryZVertical,0.1862271555042752,-0.02535104804203015,-0.117460568623617,0.9751306059458894,-0.005692470353096724,-0.3691470921039581,-0.9293535351753235,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.934 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.711047875,-0.0005035400390625,-0.384796142578125,-0.9236297607421875,7311.701076875001,-0.2386146981343797,-0.004797903485580388,0.3814772705541988,-0.07496082782745361,-0.02367586828768253,0.03113320469856262,0.01017517782747746,-0.02683347463607788,0.008485615253448486,XArbitraryZVertical,0.1879556033868175,-0.02490380194285216,-0.1173171748571646,0.9748277229367313,-0.004452992230653763,-0.3722919523715973,-0.9281049966812134,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:16.969 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.745946875,-0.012054443359375,-0.3510589599609375,-0.933441162109375,7311.701076875001,-0.2386146981343797,-0.004797903485580388,0.3814772705541988,-0.07496082782745361,-0.02367586828768253,0.03113320469856262,0.01017517782747746,-0.02683347463607788,0.008485615253448486,XArbitraryZVertical,0.1879556033868175,-0.02490380194285216,-0.1173171748571646,0.9748277229367313,-0.004452992230653763,-0.3722919523715973,-0.9281049966812134,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.004 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.780846875001,-0.0057220458984375,-0.3549041748046875,-0.932220458984375,7311.760903875001,-0.236800388940156,-0.007660168786583139,0.37600286691675,-0.04501784965395927,-0.0145963542163372,-0.005657186731696129,-0.005478561390191317,0.02067691087722778,-0.001225471496582031,XArbitraryZVertical,0.1851416206950424,-0.02581292938082688,-0.1167523400326237,0.9754102801927463,-0.00712495855987072,-0.3672055304050446,-0.9301125407218933,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.039 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.815745875,-0.0048675537109375,-0.3648223876953125,-0.9334259033203125,7311.760903875001,-0.236800388940156,-0.007660168786583139,0.37600286691675,-0.04501784965395927,-0.0145963542163372,-0.005657186731696129,-0.005478561390191317,0.02067691087722778,-0.001225471496582031,XArbitraryZVertical,0.1851416206950424,-0.02581292938082688,-0.1167523400326237,0.9754102801927463,-0.00712495855987072,-0.3672055304050446,-0.9301125407218933,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.074 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.850644875,-0.011444091796875,-0.362060546875,-0.9292449951171875,7311.820731875,-0.2380641941467589,-0.007823814235468114,0.3760343773368699,0.0016700275009498,-0.02547776326537132,-0.001700811088085175,0.002409770153462887,0.002426296472549438,-0.00332874059677124,XArbitraryZVertical,0.1851310556006154,-0.02601155374937994,-0.1173835499667619,0.9753311532634191,-0.007277076598256826,-0.3672348260879517,-0.9300997853279114,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.109 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.885544875,-0.0105438232421875,-0.3641204833984375,-0.92645263671875,7311.880558875,-0.237994774507889,-0.008996880299883093,0.3742249315864455,-0.02819226495921612,-0.002907739952206612,0.01238373201340437,4.309229552745819e-05,0.001764863729476929,-1.990795135498047e-05,XArbitraryZVertical,0.1841804393710064,-0.02647241954517205,-0.1174743147555799,0.9754878276202255,-0.008374104276299477,-0.3655512034893036,-0.9307535290718079,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.144 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.920443875,-0.0091094970703125,-0.3661651611328125,-0.9323272705078125,7311.880558875,-0.237994774507889,-0.008996880299883093,0.3742249315864455,-0.02819226495921612,-0.002907739952206612,0.01238373201340437,4.309229552745819e-05,0.001764863729476929,-1.990795135498047e-05,XArbitraryZVertical,0.1841804393710064,-0.02647241954517205,-0.1174743147555799,0.9754878276202255,-0.008374104276299477,-0.3655512034893036,-0.9307535290718079,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.179 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.955342875,-0.013031005859375,-0.3444366455078125,-0.9315032958984375,7311.940386875001,-0.2379955595006188,-0.009668110205423545,0.3714125688585563,-0.04445938393473625,-0.02211019769310951,-0.01425310410559177,6.385147571563721e-06,0.007599115371704102,-0.001671671867370605,XArbitraryZVertical,0.1827688159813744,-0.02663708791895149,-0.1175608144643259,0.9757383662800126,-0.009008755907416344,-0.3629320561885834,-0.9317720532417297,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.214 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7311.990242875,-0.0084686279296875,-0.362548828125,-0.9304962158203125,7311.940386875001,-0.2379955595006188,-0.009668110205423545,0.3714125688585563,-0.04445938393473625,-0.02211019769310951,-0.01425310410559177,6.385147571563721e-06,0.007599115371704102,-0.001671671867370605,XArbitraryZVertical,0.1827688159813744,-0.02663708791895149,-0.1175608144643259,0.9757383662800126,-0.009008755907416344,-0.3629320561885834,-0.9317720532417297,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.253 -0400,1590421156.000391,35.93112211702147,-79.0316150707164,88.6866,0,295.0727065784843,2.337994798816927,5.32525279714436,-9999,7312.025141875,-0.0060272216796875,-0.36260986328125,-0.9327392578125,7312.000213875001,-0.2390021491959954,-0.009298117008180371,0.3711477870286211,-0.01049555838108063,0.003556550480425358,-0.01573015935719013,0.002775306813418865,-0.002550601959228516,0.001235306262969971,XArbitraryZVertical,0.1826480224267301,-0.02653317437621137,-0.1180203852873476,0.9757083353649707,-0.008664898574352264,-0.3626852929592133,-0.9318713545799255,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.284 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.060041875,-0.0117645263671875,-0.356292724609375,-0.92681884765625,7312.000213875001,-0.2390021491959954,-0.009298117008180371,0.3711477870286211,-0.01049555838108063,0.003556550480425358,-0.01573015935719013,0.002775306813418865,-0.002550601959228516,0.001235306262969971,XArbitraryZVertical,0.1826480224267301,-0.02653317437621137,-0.1180203852873476,0.9757083353649707,-0.008664898574352264,-0.3626852929592133,-0.9318713545799255,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.318 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.094940875,-0.004180908203125,-0.3585968017578125,-0.9334716796875,7312.060041875,-0.2399177625467912,-0.009668991317585508,0.3691418259945915,-0.03835435584187508,-0.004557035863399506,-0.01454062666743994,-7.640011608600616e-05,0.003773242235183716,0.00529932975769043,XArbitraryZVertical,0.1816350295044525,-0.02668062317417328,-0.1185182845668219,0.9758330135990603,-0.009017521515488625,-0.3608151972293854,-0.9325937032699585,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.354 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.129839875,-0.01593017578125,-0.3449249267578125,-0.9378662109375,7312.119868875,-0.2405137389781019,-0.01028817942136939,0.3668113385996797,-0.03607069328427315,-0.02023346722126007,-0.009731605648994446,-0.002419990487396717,0.00826677680015564,0.0001046657562255859,XArbitraryZVertical,0.1804528546513114,-0.02690050371392543,-0.1188850117907264,0.9760017088385456,-0.009603595361113548,-0.358640730381012,-0.9334262609481812,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.388 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.164739875,-0.007293701171875,-0.3504180908203125,-0.9322509765625,7312.119868875,-0.2405137389781019,-0.01028817942136939,0.3668113385996797,-0.03607069328427315,-0.02023346722126007,-0.009731605648994446,-0.002419990487396717,0.00826677680015564,0.0001046657562255859,XArbitraryZVertical,0.1804528546513114,-0.02690050371392543,-0.1188850117907264,0.9760017088385456,-0.009603595361113548,-0.358640730381012,-0.9334262609481812,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.424 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.199638875,-0.007415771484375,-0.3560028076171875,-0.930328369140625,7312.179695875,-0.2418912312672246,-0.009745951869342767,0.3667924248220694,0.01792090199887753,-0.003735716687515378,-0.01923150196671486,0.003680980764329433,0.002160847187042236,-0.005529224872589111,XArbitraryZVertical,0.1804574515299462,-0.02675908039912313,-0.1195084358498259,0.9759286527741952,-0.00909753143787384,-0.3586230576038361,-0.9334381222724915,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.458 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.234537875001,-0.0067596435546875,-0.3575286865234375,-0.9338836669921875,7312.179695875,-0.2418912312672246,-0.009745951869342767,0.3667924248220694,0.01792090199887753,-0.003735716687515378,-0.01923150196671486,0.003680980764329433,0.002160847187042236,-0.005529224872589111,XArbitraryZVertical,0.1804574515299462,-0.02675908039912313,-0.1195084358498259,0.9759286527741952,-0.00909753143787384,-0.3586230576038361,-0.9334381222724915,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.494 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.269437875,-0.011932373046875,-0.3542327880859375,-0.9339599609375,7312.239523875,-0.24178666000167,-0.01052278612329566,0.3669324346481251,0.003909479826688766,-0.01367569901049137,0.01838837936520576,0.003062833100557327,0.001238793134689331,-0.0005056262016296387,XArbitraryZVertical,0.1804807826495175,-0.02713695094409051,-0.1195263192151539,0.9759116596883223,-0.009822126477956772,-0.3587537705898285,-0.9333805441856384,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.528 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.304336875,-0.017059326171875,-0.344879150390625,-0.9311370849609375,7312.299350875001,-0.2406716469159651,-0.01163589887913307,0.3667968725797995,0.02534286491572857,0.005488674156367779,0.002788879908621311,-0.007219631224870682,0.01470780372619629,0.0009047389030456543,XArbitraryZVertical,0.1803634675918585,-0.02757158217208571,-0.1190837615714687,0.9759752569677943,-0.01086164359003305,-0.3586272299289703,-0.9334176778793335,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.563 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.339236375001,-0.010040283203125,-0.3657989501953125,-0.9324493408203125,7312.299350875001,-0.2406716469159651,-0.01163589887913307,0.3667968725797995,0.02534286491572857,0.005488674156367779,0.002788879908621311,-0.007219631224870682,0.01470780372619629,0.0009047389030456543,XArbitraryZVertical,0.1803634675918585,-0.02757158217208571,-0.1190837615714687,0.9759752569677943,-0.01086164359003305,-0.3586272299289703,-0.9334176778793335,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.598 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.374136375,-0.0077056884765625,-0.3529510498046875,-0.932342529296875,7312.359179375,-0.240674971784696,-0.01059410452752409,0.3675344182873512,-0.01416379678994417,0.001846002414822578,0.005374075844883919,0.003767984919250011,-0.007156163454055786,0.00327533483505249,XArbitraryZVertical,0.1807854159862767,-0.02710666547446045,-0.1189852393783846,0.975922249614417,-0.009886403568089008,-0.3593156039714813,-0.9331637024879456,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
2020-05-25 11:39:17.633 -0400,1590421157.000398,35.93111615104259,-79.03160755546574,88.66673,0,295.0727113615819,2.146058746795882,5.650931771847998,-9999,7312.409035375001,-0.015594482421875,-0.353515625,-0.93121337890625,7312.359179375,-0.240674971784696,-0.01059410452752409,0.3675344182873512,-0.01416379678994417,0.001846002414822578,0.005374075844883919,0.003767984919250011,-0.007156163454055786,0.00327533483505249,XArbitraryZVertical,0.1807854159862767,-0.02710666547446045,-0.1189852393783846,0.975922249614417,-0.009886403568089008,-0.3593156039714813,-0.9331637024879456,7300.38201825,unknown,2,2020-05-25 11:39:05.605 -0400,2020-05-25 10:03:58.294 -0400,2281,1.124595,0,0,1799.878,0,0,2020-05-25 11:39:03.060 -0400,612113955.8211869,0,0.4492188,101.2326,1,0.85
